ID,Size (KB),Title,Authors,Author Birth Years,Languages,LCC Subjects
pg101,662,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,"Sterling, Bruce",1954,en,HV
pg10201,681,The Desert of Wheat,"Grey, Zane",1872,en,PS
pg10202,466,"Maria Mitchell: Life, Letters, and Journals","Mitchell, Maria",1818,en,QB
pg1020,181,Sword Blades and Poppy Seed,"Lowell, Amy",1874,en,PS
pg10210,537,"Wolves of the Sea
Being a Tale of the Colonies from the Manuscript of One Geoffry Carlyle, Seaman, Narrating Certain Strange Adventures Which Befell Him Aboard the Pirate Craft ""Namur""","Parrish, Randall",1858,en,PS
pg10212,304,Peck's Bad Boy with the Circus,"Peck, George W. (George Wilbur)",1840,en,PZ
pg10213,637,The Everlasting Whisper,"Gregory, Jackson",1882,en,PS
pg10214,251,Introduction to the Philosophy and Writings of Plato,"Taylor, Thomas",1758,en,B
pg10216,169,Poems,"Holley, Marietta",1836,en,PS
pg10217,216,The Land of Little Rain,"Austin, Mary Hunter",1868,en,F850.5
pg10219,712,The Poetical Works of William Wordsworth — Volume 1 (of 8),"Wordsworth, William",1770,en,PR
pg1021,131,"The Congo, and Other Poems","Lindsay, Vachel",1879,en,PS
pg10220,91,Daddy Takes Us Skating,"Garis, Howard Roger",1873,en,PZ
pg10221,491,Purple Springs,"McClung, Nellie L.",1873,en,PS
pg10222,709,"The Pilgrims of New England
A Tale of the Early American Settlers","Webb-Peploe, Mrs. (Annie)",1805,en,PR
pg10226,483,Beautiful Joe: An Autobiography,"Saunders, Marshall",1861,en,PS
pg1022,86,Walking,"Thoreau, Henry David",1817,en,PS
pg10234,409,Old Creole Days: A Story of Creole Life,"Cable, George Washington",1844,en,PS
pg1023,1954,Bleak House,"Dickens, Charles",1812,en,PR
pg10251,262,Town Geology,"Kingsley, Charles",1819,en,QE
pg1025,663,"Essays; Political, Economical, and Philosophical — Volume 1","Rumford, Benjamin, Graf von",1753,en,Q
pg10266,729,"The Glands Regulating Personality
A Study of the Glands of Internal Secretion in Relation to the Types of Human Nature","Berman, Louis",1893,en,QP
pg10268,291,Patty at Home,"Wells, Carolyn",1862,en,PZ
