ID,Size (KB),Title,Authors,Author Birth Years,Languages,LCC Subjects
pg24737,363,The Children of Odin: The Book of Northern Myths,"Colum, Padraic",1881,en,PZ BL
pg24741,134,The Campaign of Trenton 1776-77,"Drake, Samuel Adams",1833,en,E201
pg24742,271,"Mary, Mary","Stephens, James",1882,en,PR
pg24744,354,The Valley of the Kings,"Pickthall, Marmaduke William",1875,en,PR
pg24745,110,"The Loss of the Kent, East Indiaman, in the Bay of Biscay
Narrated in a Letter to a Friend","McGregor, Duncan",1787,en,VK
pg24749,159,Adaptation,"Reynolds, Mack",1917,en,PS
pg24751,80,The Kitchen Cat and Other Stories,"Walton, Amy",1848,en,PZ
pg24752,57,Achenwall's Observations on North America,"Achenwall, Gottfried",1719,en,E151
pg24753,141,Who Are Happiest? and Other Stories,"Arthur, T. S. (Timothy Shay)",1809,en,PZ
pg24754,466,Wit and Wisdom of Don Quixote,"Cervantes Saavedra, Miguel de",1547,en,PQ
pg24755,547,"Captain Cook: His Life, Voyages, and Discoveries","Kingston, William Henry Giles",1814,en,DU G CT
pg24756,142,The Story of General Gordon,"Lang, Jean",1867,en,CT DA
pg24757,164,The Atonement and the Modern Mind,"Denney, James",1856,en,BT
pg24758,478,The Eyes of the Woods: A Story of the Ancient Wilderness,"Altsheler, Joseph A. (Joseph Alexander)",1862,en,PZ
pg24761,183,The Rivals: A Comedy,"Sheridan, Richard Brinsley",1751,en,PR
pg24762,160,Diggers in the Earth,"Tappan, Eva March",1854,en,TN PE
pg24764,554,The World Peril of 1910,"Griffith, George Chetwynd",1857,en,PR
pg24765,168,"A Treatise on the Tactical Use of the Three Arms: Infantry, Artillery, and Cavalry","Lippitt, Francis J. (Francis James)",1812,en,U
pg24767,421,Jack O' Judgment,"Wallace, Edgar",1875,en,PR
pg24769,509,The Opal Serpent,"Hume, Fergus",1859,en,PR
pg24770,360,"A Prisoner of Morro; Or, In the Hands of the Enemy","Sinclair, Upton",1878,en,PS
pg24771,227,Tutors' Lane,"Lewis, W. S. (Wilmarth Sheldon)",1895,en,PS
pg24772,154,"Sara Crewe; Or, What Happened at Miss Minchin's","Burnett, Frances Hodgson",1849,en,PZ PS
pg24775,392,"Up the River; or, Yachting on the Mississippi","Optic, Oliver",1822,en,PZ
pg24777,1034,"Celebrated Travels and Travellers, Part 1.
The Exploration of the World","Verne, Jules",1828,en,PQ G
pg24779,124,Millennium,"Cole, Everett B.",1918,en,PS
pg24780,1173,"The Letters of Queen Victoria : A Selection from her Majesty's correspondence between the years 1837 and 1861
Volume 2, 1844-1853","Victoria, Queen of Great Britain",1819,en,AC DA
pg24783,31,The Pirate's Pocket Book,"Calthrop, Dion Clayton",1878,en,PZ PR
pg24785,122,Nero,"Phillips, Stephen",1864,en,PR
pg24794,433,The Arbiter: A Novel,"Bell, Florence Eveleen Eleanore Olliffe, Lady",1851,en,PR
pg24799,388,"The Escape of Mr. Trimm
His Plight and other Plights","Cobb, Irvin S. (Irvin Shrewsbury)",1876,en,PS
pg24804,324,The Rider in Khaki: A Novel,"Gould, Nat",1857,en,PZ PR
pg24808,269,All Afloat: A Chronicle of Craft and Waterways,"Wood, William Charles Henry",1864,en,VK F1001
pg24812,906,The Three Midshipmen,"Kingston, William Henry Giles",1814,en,PR
pg24813,449,"The Queen's Scarlet
The Adventures and Misadventures of Sir Richard Frayne","Fenn, George Manville",1831,en,PR
pg24814,512,The Forest Exiles: The Perils of a Peruvian Family in the Wilds of the Amazon,"Reid, Mayne",1818,en,PR
pg24815,403,Translations of German Poetry in American Magazines 1741-1810,"Davis, Edward Ziegler",1878,en,PS
pg24818,360,Sketches of Travel in Normandy and Maine,"Freeman, Edward A. (Edward Augustus)",1823,en,DC
pg24819,173,"Hesperus
and Other Poems and Lyrics","Sangster, Charles",1822,en,PS
pg2481,1786,The Civilization of Illiteracy,"Nadin, Mihai",1938,en,LC
pg24821,368,"Diamond Dyke
The Lone Farm on the Veldt - Story of South African Adventure","Fenn, George Manville",1831,en,PR
pg24822,273,The Queen's Twin and Other Stories,"Jewett, Sarah Orne",1849,en,PZ
pg24826,325,Hildegarde's Holiday: A Story for Girls,"Richards, Laura Elizabeth Howe",1850,en,PZ
pg24827,226,Rita,"Richards, Laura Elizabeth Howe",1850,en,PZ PS
pg24828,294,Margaret Montfort,"Richards, Laura Elizabeth Howe",1850,en,PZ PS
pg24829,67,"The Uses of Italic
A Primer of Information Regarding the Origin and Uses of Italic Letters","Hamilton, Frederick W. (Frederick William)",1860,en,Z
pg2482,83,New York,"Cooper, James Fenimore",1789,en,PS F106
pg24831,175,"Forests of Maine
Marco Paul's Adventures in Pursuit of Knowledge","Abbott, Jacob",1803,en,PZ F001
pg24832,252,"Labrador Days
Tales of the Sea Toilers","Grenfell, Wilfred Thomason, Sir",1865,en,PR
pg24839,382,"The Blonde Lady
Being a Record of the Duel of Wits between Arsène Lupin and the English Detective","Leblanc, Maurice",1864,en,PQ
pg24840,73,The Re-echo Club,"Wells, Carolyn",1862,en,PS
pg24841,280,Friendly Visiting among the Poor: A Handbook for Charity Workers,"Richmond, Mary Ellen",1861,en,HV
pg24842,112,The Defence of Duffer's Drift,"Swinton, Ernest Dunlop",1868,en,U
pg2484,826,"The Boys' and Girls' Plutarch
Being Parts of the ""Lives"" of Plutarch, Edited for Boys and Girls",Plutarch,46,en,PZ DE CT
pg24852,200,"The Wonders of the Jungle, Book One","Ghosh, Sarath Kumar",1883,en,QL
pg24854,397,"The Eugenic Marriage, Volume 2 (of 4)
A Personal Guide to the New Science of Better Living and Better Babies","Hague, W. Grant (William Grant)",1868,en,RJ
pg24858,205,The Story of Wool,"Bassett, Sara Ware",1872,en,PZ SF
pg24859,501,Turned Adrift,"Collingwood, Harry",1851,en,PR
pg24862,315,"Letters of Lt.-Col. George Brenton Laurie
(commanding 1st Battn. Royal Irish Rifles) Dated November 4th, 1914-March 11th, 1915","Laurie, G. B. (George Brenton)",1867,en,D501 DC
pg24864,63,The Great Potlatch Riots,"Lang, Allen Kim",1928,en,PS
pg24866,481,A Lieutenant at Eighteen,"Optic, Oliver",1822,en,PZ
pg24870,103,"The Stars, My Brothers","Hamilton, Edmond",1904,en,PS
pg24871,270,The Bag of Diamonds,"Fenn, George Manville",1831,en,PZ
pg24872,95,The Tale of Master Meadow Mouse,"Bailey, Arthur Scott",1877,en,PZ
pg24873,363,"Lucy Maud Montgomery Short Stories, 1896 to 1901","Montgomery, L. M. (Lucy Maud)",1874,en,PS
pg24874,423,"Lucy Maud Montgomery Short Stories, 1902 to 1903","Montgomery, L. M. (Lucy Maud)",1874,en,PS
pg24875,274,"Lucy Maud Montgomery Short Stories, 1904","Montgomery, L. M. (Lucy Maud)",1874,en,PS
pg24876,513,"Lucy Maud Montgomery Short Stories, 1905 to 1906","Montgomery, L. M. (Lucy Maud)",1874,en,PS
pg24877,495,"Lucy Maud Montgomery Short Stories, 1907 to 1908","Montgomery, L. M. (Lucy Maud)",1874,en,PS
pg24878,604,"Lucy Maud Montgomery Short Stories, 1909 to 1922","Montgomery, L. M. (Lucy Maud)",1874,en,PS
pg24879,552,"Curious, if True
Strange Tales","Gaskell, Elizabeth Cleghorn",1810,en,PR
pg2487,161,Cross Roads,"Sangster, Margaret E. (Margaret Elizabeth)",1894,en,PS
pg24880,416,"The Wreck of the Titan
or, Futility","Robertson, Morgan",1861,en,PS
pg24881,102,"The Tale of Grumpy Weasel
Sleepy-Time Tales","Bailey, Arthur Scott",1877,en,PZ
pg24883,111,New and Original Theories of the Great Physical Forces,"Rogers, Henry Raymond",1822,en,QC QB
pg24884,606,"Commercial Geography
A Book for High Schools, Commercial Courses, and Business Colleges","Redway, Jacques W. (Jacques Wardlaw)",1849,en,HF
pg2488,864,Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World,"Verne, Jules",1828,en,PQ
pg24891,402,"Stray Leaves from an Arctic Journal
Or, Eighteen Months in the Polar Regions, in Search of Sir John Franklin's Expedition, in the Years 1850-51","Osborn, Sherard",1822,en,G
pg24893,138,In Mesopotamia,"Nicoll, Maurice",1884,en,R D501
pg24897,339,The Great White Tribe in Filipinia,"Gilbert, Paul T. (Paul Thomas)",1876,en,DS
pg24898,1643,Robert Elsmere,"Ward, Humphry, Mrs.",1851,en,PR
pg2489,1226,"Moby Dick; Or, The Whale","Melville, Herman",1819,en,PS
pg24901,135,"The American Type of Isthmian Canal
Speech by Hon. John Fairfield Dryden in the Senate of the United States, June 14, 1906","Dryden, John F. (John Fairfield)",1839,en,F1561 TC
pg24903,275,Molly Brown's Senior Days,"Speed, Nell",1878,en,PZ
pg24907,514,"The Lady and the Pirate
Being the Plain Tale of a Diligent Pirate and a Fair Captive","Hough, Emerson",1857,en,PS
pg24909,551,The Golden Magnet,"Fenn, George Manville",1831,en,PZ
pg2490,53,Lamia,"Keats, John",1795,en,PR
pg24912,60,Finger plays for nursery and kindergarten,"Poulsson, Emilie",1853,en,GV LB
pg24914,159,Wappin' Wharf: A Frightful Comedy of Pirates,"Brooks, Charles S. (Charles Stephen)",1878,en,PS
pg24917,450,Heath's Modern Language Series: Mariucha,"Pérez Galdós, Benito",1843,es en,PQ
pg24918,452,Hollowdell Grange: Holiday Hours in a Country Home,"Fenn, George Manville",1831,en,PZ
pg24920,299,The Book of All-Power,"Wallace, Edgar",1875,en,PE
pg24922,131,The Honourable Mr. Tawnish,"Farnol, Jeffery",1878,en,PR
pg24923,1151,"The Variation of Animals and Plants Under Domestication, Vol. I.","Darwin, Charles",1809,en,QH
pg24926,648,In the Mahdi's Grasp,"Fenn, George Manville",1831,en,PZ
pg24929,479,The Green Rust,"Wallace, Edgar",1875,en,PR
pg24930,650,"Glances at Europe
In a Series of Letters from Great Britain, France, Italy, Switzerland, &c. During the Summer of 1851.","Greeley, Horace",1811,en,D
pg24931,634,Elements of Agricultural Chemistry,"Anderson, Thomas",1819,en,S
pg24932,223,"The Tribune of Nova Scotia
A Chronicle of Joseph Howe","Grant, W. L. (William Lawson)",1872,en,F1001
pg24933,313,The Man Who Knew,"Wallace, Edgar",1875,en,PR
pg24934,879,Spiritual Reformers in the 16th & 17th Centuries,"Jones, Rufus M. (Rufus Matthew)",1863,en,BV
pg24936,75,The Thunders of Silence,"Cobb, Irvin S. (Irvin Shrewsbury)",1876,en,PS
pg24937,93,Mike Marble: His Crotchets and Oddities.,"Woodworth, Francis C. (Francis Channing)",1812,en,PZ
pg2493,94,The Adventures of Paddy the Beaver,"Burgess, Thornton W. (Thornton Waldo)",1874,en,PZ PS
pg24945,459,Mufti,"McNeile, H. C. (Herman Cyril)",1888,en,PR
pg24946,499,"From a Cornish Window
A New Edition","Quiller-Couch, Arthur",1863,en,PR
pg24947,162,"Mediæval Wales
Chiefly in the Twelfth and Thirteenth Centuries: Six Popular Lectures","Little, A. G. (Andrew George)",1863,en,DA
pg24949,49,Control Group,"Aycock, Roger D.",1914,en,PS
pg2494,127,For Greater Things: The Story of Saint Stanislaus Kostka,"Kane, William T. (William Terence)",1880,en,BX
pg24950,974,"Bradford's History of 'Plimoth Plantation'
From the Original Manuscript. With a Report of the Proceedings Incident to the Return of the Manuscript to Massachusetts","Bradford, William",1590,en,F001
pg24951,362,"The War in South Africa, Its Cause and Conduct","Doyle, Arthur Conan",1859,en,DT
pg24958,33,Second Landing,"Wallace, F. L. (Floyd L.)",1915,en,PS
pg24963,709,"Allison Bain; Or, By a Way She Knew Not","Robertson, Margaret M. (Margaret Murray)",1821,en,PS
pg24965,40,The Deadly Daughters,"Marks, Winston K.",1915,en,PS
pg24968,341,"Behind the Scenes
or, Thirty years a slave, and Four Years in the White House","Keckley, Elizabeth",1818,en,E456 CT
pg2496,310,Our Village,"Mitford, Mary Russell",1787,en,PR
pg24972,256,Reminiscences of Forts Sumter and Moultrie in 1860-'61,"Doubleday, Abner",1819,en,E456
pg24975,30,The Gift Bearer,"Fontenay, Charles L.",1917,en,PS
pg24976,520,Roger Trewinion,"Hocking, Joseph",1860,en,PR
pg24978,227,Thirty Indian Legends,"Bemister, Margaret",1877,en,E011
pg24980,1489,William Pitt and the Great War,"Rose, J. Holland (John Holland)",1855,en,DA
pg24984,92,"Little Gidding and its inmates in the Time of King Charles I.
with an account of the Harmonies","Acland, John Edward",1848,en,BX
pg24985,359,Comedies of Courtship,"Hope, Anthony",1863,en,PR
pg24986,235,Tommy,"Hocking, Joseph",1860,en,PR
pg24989,110,A Short Method Of Prayer,"Guyon, Jeanne Marie Bouvier de la Motte",1648,en,BV
pg2498,193,Addresses by Henry Drummond,"Drummond, Henry",1851,en,BR
pg24990,136,"Thirteen Chapters of American History
represented by the Edward Moran series of Thirteen Historical Marine Paintings","Sutro, Theodore",1845,en,E151
pg24991,51,"Aunt Amy; or, How Minnie Brown learned to be a Sunbeam","Wise, Daniel",1813,en,PZ
pg24993,176,Rollo's Experiments,"Abbott, Jacob",1803,en,QH
pg24995,35,"The Americans In The South Seas
1901","Becke, Louis",1855,en,PR
pg24997,49,"The Beginning Of The Sea Story Of Australia
1901","Becke, Louis",1855,en,PR
pg24998,96,"Concerning ""Bully"" Hayes
From ""The Strange Adventure Of James Shervinton and Other
Stories"" - 1902","Becke, Louis",1855,en,PR
pg25000,611,English Book Collectors,"Fletcher, William Younger",1830,en,Z
pg25001,409,An Old Man's Love,"Trollope, Anthony",1815,en,PR
pg25002,215,Roy Blakeley's Bee-line Hike,"Fitzhugh, Percy Keese",1876,en,PZ
pg25003,318,The Nicest Girl in the School: A Story of School Life,"Brazil, Angela",1869,en,PZ
pg25004,678,A Confederate Girl's Diary,"Dawson, Sarah Morgan",1842,en,E456
pg2500,235,Siddhartha,"Hesse, Hermann",1877,en,PT
pg25014,469,Bouvard and Pécuchet: A Tragi-comic Novel of Bourgeois Life,"Flaubert, Gustave",1821,en,PQ
pg25016,479,The House of Souls,"Machen, Arthur",1863,en,PR
pg25017,448,A Son of the Immortals,"Tracy, Louis",1863,en,PR
pg2501,934,A Face Illumined,"Roe, Edward Payson",1838,en,PS
pg25023,100,The Biography of a Grizzly,"Seton, Ernest Thompson",1860,en,PZ
pg25024,199,The Night of the Long Knives,"Leiber, Fritz",1910,en,PS
pg25025,211,The Story of Silk,"Bassett, Sara Ware",1872,en,PZ TS
pg25026,274,Bristol Bells: A Story of the Eighteenth Century,"Marshall, Emma",1830,en,PR
pg25028,44,Heist Job on Thizar,"Garrett, Randall",1927,en,PS
pg25029,912,Sir Walter Ralegh: A Biography,"Stebbing, W. (William)",1832,en,CT DA
pg2502,60,"Chitra, a Play in One Act","Tagore, Rabindranath",1861,en,PK
pg25031,169,"Davy and The Goblin
What Followed Reading 'Alice's Adventures in Wonderland'","Carryl, Charles E. (Charles Edward)",1841,en,PZ
pg25032,487,A Yacht Voyage Round England,"Kingston, William Henry Giles",1814,en,PZ
pg25035,59,The Happy Unfortunate,"Silverberg, Robert",1935,en,PS
pg25038,241,Tam o' the Scoots,"Wallace, Edgar",1875,en,PE
pg25040,64,"Bilingualism: Address delivered before the Quebec Canadian Club
At Quebec, Tuesday, March 28th, 1916","Belcourt, N. A. (Napoléon-Antoine)",1860,en,P LC
pg25041,92,Humour of the North,"Burpee, Lawrence J. (Lawrence Johnstone)",1873,en,PS
pg25042,128,Color Value,"Clifford, C. R. (Chandler Robbins)",1858,en,NK
pg25044,350,"The Eugenic Marriage, Volume 3 (of 4)
A Personal Guide to the New Science of Better Living and Better Babies","Hague, W. Grant (William Grant)",1868,en,RJ
pg25045,182,"Chanticleer
A Thanksgiving Story of the Peabody Family","Mathews, Cornelius",1817,en,PZ
pg25049,550,My Reminiscences of the Anglo-Boer War,"Viljoen, Ben J. (Ben Johannis)",1868,en,DT
pg2504,74,"Some Cities and San Francisco, and Resurgam","Bancroft, Hubert Howe",1832,en,F850.5
pg25051,345,Space Platform,"Leinster, Murray",1896,en,PS
pg25053,270,"The Temptation of St. Antony; Or, A Revelation of the Soul","Flaubert, Gustave",1821,en,PQ
pg25057,45,"The Adventure Of Elizabeth Morey, of New York
1901","Becke, Louis",1855,en,PR
pg25061,122,The Penal Cluster,"Garrett, Randall",1927,en,PS
pg25062,553,A Study of Recent Earthquakes,"Davison, Charles",1858,en,QE
pg25063,136,The Beggar's Opera; to Which is Prefixed the Musick to Each Song,"Gay, John",1685,en,ML
pg25067,404,The Planet Strappers,"Gallun, Raymond Z.",1911,en,PS
pg2506,66,The Sleeping-Car: A Farce,"Howells, William Dean",1837,en,PS
pg25070,301,Mr. Opp,"Rice, Alice Caldwell Hegan",1870,en,PS
pg25071,952,"The Romany Rye
A Sequel to 'Lavengro'","Borrow, George",1803,en,PR
pg25073,229,Overbeck,"Atkinson, J. Beavington",1822,en,ND
pg25075,165,"A Letter from Major Robert Carmichael-Smyth to His Friend, the Author of 'The Clockmaker'","Carmichael-Smyth, Robert",1799,en,HE
pg25076,331,Between the Lines,"Cable, Boyd",1878,en,D501
pg25077,518,"Castellinaria, and Other Sicilian Diversions","Jones, Henry Festing",1851,en,DG
pg25079,340,Queensland Cousins,"Haverfield, Eleanor Luisa",1870,en,PZ
pg2507,373,Complete Poetical Works,"Harte, Bret",1836,en,PS
pg25081,375,The Cricket,"Cooke, Marjorie Benton",1876,en,PS
pg25082,222,The Yellow Horde,"Evarts, Hal G. (Hal George)",1887,en,PS
pg25084,276,"Bell's Cathedrals: The Cathedral Church of Rochester
A Description of its Fabric and a Brief History of the Episcopal See","Palmer, G. H. (George Henry)",1871,en,NA
pg25086,46,The Delegate from Venus,"Slesar, Henry",1927,en,PS
pg25087,638,Twenty Years of Hus'ling,"Johnston, J. P. (James Perry)",1852,en,HF
pg25090,89,The Tale of Billy Woodchuck,"Bailey, Arthur Scott",1877,en,PZ
pg25094,55,Daughters of Doom,"Hickey, H. B.",1916,en,PS
pg25098,162,The Tree-Dwellers,"Dopp, Katharine Elizabeth",1863,en,GN
pg25099,564,Historical Essays,"Rhodes, James Ford",1848,en,E151
pg250,117,"A Brief History of the Internet
The Bright Side: The Dark Side","Hart, Michael",1947,en,TK
pg25100,207,The Story of Commodore John Barry,"Griffin, Martin I. J. (Martin Ignatius Joseph)",1842,en,E201
pg25102,490,"Nobody's Boy
Sans Famille","Malot, Hector",1830,en,PZ PQ
pg25103,510,"Historic Tales: The Romance of Reality. Vol. 02 (of 15), American (2)","Morris, Charles",1833,en,E151
pg25105,39,"Pâkia
1901","Becke, Louis",1855,en,PR
pg25106,51,"""The Gallant, Good Riou"", and Jack Renton
1901","Becke, Louis",1855,en,DU
pg25107,42,"Sarréo
1901","Becke, Louis",1855,en,PR
pg25108,42,"The South Seaman
An Incident In The Sea Story Of Australia - 1901","Becke, Louis",1855,en,DU
pg25109,38,"Susâni
1901","Becke, Louis",1855,en,PR
pg2510,49,The Invention of a New Religion,"Chamberlain, Basil Hall",1850,en,BL
pg25111,339,Over the Fireside with Silent Friends,"King, Richard",1879,en,PR
pg25112,897,"The Life of King Edward VII
with a sketch of the career of King George V","Hopkins, J. Castell (John Castell)",1864,en,DA
pg25115,45,"A Journal of a Visit of Three Days to Skibbereen, and its Neighbourhood","Burritt, Elihu",1810,en,HD
pg25118,306,When Grandmamma Was New: The Story of a Virginia Childhood,"Harland, Marion",1830,en,PZ
pg25119,872,"The Conquest of Canada, Vol. 1","Warburton, George",1816,en,F1001
pg25122,654,"From Sail to Steam, Recollections of Naval Life","Mahan, A. T. (Alfred Thayer)",1840,en,VA
pg25126,316,Modern Saints and Seers,"Finot, Jean",1858,en,BL
pg25127,764,The Tiger Hunter,"Reid, Mayne",1818,en,PR
pg25129,291,"Baboo Jabberjee, B.A.","Anstey, F.",1856,en,PR
pg25132,696,The Candidate: A Political Romance,"Altsheler, Joseph A. (Joseph Alexander)",1862,en,PS
pg25133,192,Spiritual Torrents,"Guyon, Jeanne Marie Bouvier de la Motte",1648,en,BV
pg25136,508,The Pomp of Yesterday,"Hocking, Joseph",1860,en,PR
pg2513,109,God the Known and God the Unknown,"Butler, Samuel",1835,en,BL
pg25140,116,"Indian Story and Song, from North America","Fletcher, Alice C. (Alice Cunningham)",1838,en,E011
pg25141,177,The Pursuit of God,"Tozer, A. W. (Aiden Wilson)",1897,en,BV
pg25143,269,"The Curlytops and Their Playmates; Or, Jolly Times Through the Holidays","Garis, Howard Roger",1873,en,PZ
pg25145,402,A Patriotic Schoolgirl,"Brazil, Angela",1869,en,PZ
pg25150,305,The Young Bank Messenger,"Alger, Horatio, Jr.",1832,en,PZ
pg25151,334,Slow and Sure: The Story of Paul Hoffman the Young Street-Merchant,"Alger, Horatio, Jr.",1832,en,PZ
pg25152,447,All for a Scrap of Paper: A Romance of the Present War,"Hocking, Joseph",1860,en,PR
pg25153,197,Tales of a Wayside Inn,"Longfellow, Henry Wadsworth",1807,en,PS
pg25158,390,Stubble,"Looms, George",1886,en,PS
pg25159,476,Two on the Trail: A Story of the Far Northwest,"Footner, Hulbert",1879,en,PS
pg2515,509,Stepping Heavenward,"Prentiss, E. (Elizabeth)",1818,en,PS
pg25163,463,At Good Old Siwash,"Fitch, George",1877,en,PS
pg25164,736,The Flag of Distress: A Story of the South Sea,"Reid, Mayne",1818,en,PZ
pg25165,79,The Candy Country,"Alcott, Louisa May",1832,en,PZ
pg25166,79,What The Left Hand Was Doing,"Garrett, Randall",1927,en,PS
pg25171,306,"The Uncalled
A Novel","Dunbar, Paul Laurence",1872,en,PS
pg25172,84,Moral Principles in Education,"Dewey, John",1859,en,LC
pg25174,252,Rollo in Scotland,"Abbott, Jacob",1803,en,PZ
pg25185,642,Mysteries of Bee-keeping Explained,"Quinby, M. (Moses)",1810,en,SF
pg25186,673,The Border Watch: A Story of the Great Chief's Last Stand,"Altsheler, Joseph A. (Joseph Alexander)",1862,en,PZ
pg25188,337,The Flag,"Greene, Homer",1853,en,PZ
pg2518,281,"The Hungry Stones, and Other Stories","Tagore, Rabindranath",1861,en,PK
pg25190,367,A Tramp's Notebook,"Roberts, Morley",1857,en,PR
pg2519,775,"A Popular Account of Dr. Livingstone's Expedition to the Zambesi and Its Tributaries
And of the Discovery of Lakes Shirwa and Nyassa, 1858-1864","Livingstone, David",1813,en,DT
pg25201,58,The Lost Kitty,"Leslie, Madeline",1815,en,PZ
pg25203,260,The Land of Fire: A Tale of Adventure,"Reid, Mayne",1818,en,PZ
pg25205,76,Light On the Child's Path,"Bixler, William Allen",1876,en,PE
pg25206,197,Rollo's Philosophy. [Air],"Abbott, Jacob",1803,en,QC
pg2520,583,The Man,"Stoker, Bram",1847,en,PR
pg25212,101,A Glossary of Provincial Words & Phrases in use in Somersetshire,"Williams, Wadham Pigott",1821,en,PE
pg25213,391,"The Masters and their Music
A series of illustrative programs with biographical,
esthetical, and critical annotations","Mathews, W. S. B. (William Smythe Babcock)",1837,en,ML
pg25215,155,Three Things,"Glyn, Elinor",1864,en,HQ
pg2521,87,Lizzie Leigh,"Gaskell, Elizabeth Cleghorn",1810,en,PR
pg25221,305,"Philippian Studies
Lessons in Faith and Love from St. Paul's Epistle to the Philippians","Moule, H. C. G. (Handley Carr Glyn)",1841,en,BS
pg25224,286,"The Happiness of Heaven
By a Father of the Society of Jesus","Boudreaux, F. J.",1821,en,BT
pg2522,388,A Dark Night's Work,"Gaskell, Elizabeth Cleghorn",1810,en,PR
pg25232,1243,"The Political History of England - Vol. X.
The History of England from the Accession of George III
to the close of Pitt's first Administration","Hunt, William",1842,en,DA
pg25234,68,Cum Grano Salis,"Garrett, Randall",1927,en,PS
pg25244,224,Aviation in Peace and War,"Sykes, Frederick Hugh, Sir",1877,en,TL
pg2524,435,My Lady Ludlow,"Gaskell, Elizabeth Cleghorn",1810,en,PR
pg2525,147,"John Ingerfield, and Other Stories","Jerome, Jerome K. (Jerome Klapka)",1859,en,PR
pg25261,500,"History of the English People, Volume VII
The Revolution, 1683-1760; Modern England, 1760-1767","Green, John Richard",1837,en,DA
pg25267,414,Astronomy for Amateurs,"Flammarion, Camille",1842,en,QB
pg25268,120,Child-life in Art,"Hurll, Estelle M. (Estelle May)",1863,en,N
pg25269,277,Elements of Plumbing,"Dibble, Samuel Edward",1882,en,TH
pg25270,256,Hunters Out of Space,"Kelleam, Joseph Everidge",1913,en,PS
pg25272,437,The Varmint,"Johnson, Owen",1878,en,PS
pg25275,362,"Margaret of Anjou
Makers of History","Abbott, Jacob",1803,en,DA
pg25277,116,The Right of American Slavery,"Hoit, T. W. (True Worthy)",1815,en,E300
pg25278,364,Amateur Gardencraft: A Book for the Home-Maker and Garden Lover,"Rexford, Eben E. (Eben Eugene)",1848,en,SB
pg2527,253,The Sorrows of Young Werther,"Goethe, Johann Wolfgang von",1749,en,PT
pg25281,73,"Briefless Ballads and Legal Lyrics
Second Series","Williams, James",1851,en,PR
pg25282,274,The Jewish State,"Herzl, Theodor",1860,en,DS
pg25283,349,Explorers of the Dawn,"De la Roche, Mazo",1879,en,PR
pg25290,308,Line and Form (1900),"Crane, Walter",1845,en,NC
pg25291,346,Theism or Atheism: The Great Alternative,"Cohen, Chapman",1868,en,BL
pg25292,332,In Nesting Time,"Miller, Olive Thorne",1831,en,QL
pg25293,118,The Kirk on Rutgers Farm,"Brückbauer, Frederick",1864,en,BX
pg25294,333,Chats on Household Curios,"Burgess, Fred. W. (Frederick William)",1855,en,NK
pg25299,567,Wood Magic: A Fable,"Jefferies, Richard",1848,en,PR
pg2529,536,The Analysis of Mind,"Russell, Bertrand",1872,en,BF
pg25304,360,"The Shadow On The Dial, and Other Essays
1909","Bierce, Ambrose",1842,en,PS
pg25305,482,"Memoirs Of Fanny Hill
A New and Genuine Edition from the Original Text (London, 1749)","Cleland, John",1709,en,PR
pg25306,319,A Dominie in Doubt,"Neill, Alexander Sutherland",1883,en,LB
pg25307,108,Drolls From Shadowland,"Pearce, J. H. (Joseph Henry)",1856,en,PR
pg25308,292,Eugenics and Other Evils,"Chesterton, G. K. (Gilbert Keith)",1874,en,HQ
pg25309,458,Child's Story of the Bible,"Lathbury, Mary A. (Mary Artemisia)",1841,en,BS
pg2530,660,"The Malay Archipelago, Volume 1
The Land of the Orang-utan and the Bird of Paradise; A Narrative of Travel, with Studies of Man and Nature","Wallace, Alfred Russel",1823,en,DS
pg2531,56,An Accursed Race,"Gaskell, Elizabeth Cleghorn",1810,en,PR
pg25322,112,Fables in Slang,"Ade, George",1866,en,PS
pg25326,515,"Lives of the Most Eminent Painters Sculptors and Architects, Vol. 01 (of 10)
Cimabue to Agnolo Gaddi","Vasari, Giorgio",1511,en,N
pg2532,46,The Half-Brothers,"Gaskell, Elizabeth Cleghorn",1810,en,PR
pg25333,199,The Great K. & A. Robbery,"Ford, Paul Leicester",1865,en,PS
pg25334,407,Deerfoot in The Mountains,"Ellis, Edward Sylvester",1840,en,PZ
pg25337,461,"Genuine Mediumship; or, The Invisible Powers","Atkinson, William Walker",1862,en,BF
pg25338,254,The Idea of God in Early Religions,"Jevons, F. B. (Frank Byron)",1858,en,BL
pg25339,70,Atheism Among the People,"Lamartine, Alphonse de",1790,en,BT
pg25341,552,"The 28th: A Record of War Service in the Australian Imperial Force, 1915-19, Vol. I
Egypt, Gallipoli, Lemnos Island, Sinai Peninsula","Collett, Herbert Brayley",1877,en,D501
pg2534,122,Eugene Pickering,"James, Henry",1843,en,PS
pg25351,363,"Xerxes
Makers of History","Abbott, Jacob",1803,en,DS
pg25355,256,Rollo in Geneva,"Abbott, Jacob",1803,en,PZ
pg25356,166,Aunt Madge's Story,"May, Sophie",1833,en,PZ
pg25357,168,A Hundred Fables of La Fontaine,"La Fontaine, Jean de",1621,en,PQ
pg25358,471,Bert Lloyd's Boyhood: A Story from Nova Scotia,"Oxley, J. Macdonald (James Macdonald)",1855,en,PZ
